locale,variant,ISO639.1,ISO639.2T,ISO639.2B,ISO639.3,ISO639.6,wikipedia,other,autonym,en,fr,de,ru,es,it,zh,ISO639.3_macro,scope,type,family,retired,wikipedia_url,notes
,,ny,nya,nya,nya,,ny,,"chicheŵa, chinyanja, chichewa","nyanja, chichewa, chi-chewa, chewa",nyanja,nyanja,ньянджа,ñanya,,"尼昂加语, 齐切瓦语",,individual,living,niger–congo,FALSE,,
,,oc,oci,oci,oci,,oc,,"occitan, lenga d'òc","occitan (post 1500), occitan","occitan, occitan (après 1500)",okzitanisch,окситанский,occitano,,"奥克西唐语, 奥克西坦语, 奥克语",,individual,living,indo-european,FALSE,,
,,oj,oji,oji,oji,,,,"ᐊᓂᔑᓇᐯᒧᐎᓐ, anishinaabemowin",ojibwa,ojibwa,,оджибва,ojibwa,,奥吉布瓦语,,macro,living,,FALSE,,
,,om,orm,orm,orm,,om,,oromoo,oromo,galla,oromo,оромо,oromo,,奥罗莫语,,macro,living,,FALSE,,
,,or,ori,ori,ori,,or,,ଓଡ଼ିଆ,"oriya (macrolanguage), oriya, odiya",oriya,oriya,ория,oriya,,"奥利亚语, 奥里亚语",,macro,living,indo-european,FALSE,,
,,os,oss,oss,oss,,os,,"иронау, ирон æвзаг, ирон","ossetian, ossetic",ossète,ossetisch,осетинский,oseto,,"奥塞梯语, 奥塞提语",,individual,living,indo-european,FALSE,,
,,pa,pan,pan,pan,,pa,,"ਪੰਜਾਬੀ, پنجابی","panjabi, punjabi",pendjabi,pandschabisch,пенджаби,panyabí,,旁遮普语,,individual,living,indo-european,FALSE,,
,,pi,pli,pli,pli,,pi,,पाऴि,"pali, pāli",pali,pali,пали,,,巴利语,,individual,ancient,indo-european,FALSE,,ancient
,,pl,pol,pol,pol,pols,pl,,"polski, język polski, polszczyzna",polish,polonais,polnisch,польский,polaco,,波兰语,,individual,living,indo-european,FALSE,,
,,ps,pus,pus,pus,,ps,,پښتو,"pushto, pashto",pachto,paschtunisch,пушту,pastú,,"普什图语, 帕图语",,macro,living,,FALSE,,
,,pt,por,por,por,,pt,,português,portuguese,portugais,portugiesisch,португальский,portugués,,葡萄牙语,,individual,living,indo-european,FALSE,,
,,qu,que,que,que,,qu,,runa simi,quechua,quechua,quechua,кечуа,quechua,,"克丘亚语, 凯楚亚语, 奇楚瓦语",,macro,living,quechua,FALSE,,
,,rc,rcf,rcf,rcf,,,,kréol rénioné,"réunion creole french, reunionese, reunion creole",créole réunionnais,,,,,留尼汪克里奥尔法语,,individual,living,creole,FALSE,,
,,rm,roh,roh,roh,,rm,,"rumantsch, rumantsch grischun","romansh, raeto-romance",rhéto-roman,rätoromanisch,ретороманский,retorrománico,,罗曼什语,,individual,living,indo-european,FALSE,,
,,rn,run,run,run,,rn,,"kirundi, ikirundi","rundi, kirundi",rundi,kirundi,рунди,rundí,,"基隆迪语, 克伦地语",,individual,living,niger–congo,FALSE,,
,,ro,ron,rum,ron,,ro,,"română, limba română",romanian,roumain,rumänisch,румынский,rumano,,罗马尼亚语,,individual,living,indo-european,FALSE,,"[mo] for moldavian has been withdrawn, recommending [ro] also for moldavian"
,,ru,rus,rus,rus,,ru,,русский,russian,russe,russisch,русский,ruso,,俄语,,individual,living,indo-european,FALSE,,
,,rw,kin,kin,kin,,rw,,"kinyarwanda, ikinyarwanda",kinyarwanda,rwanda,kinyarwanda,киньяруанда,ruandés,,"基尼阿万达语, 卢安达语",,individual,living,niger–congo,FALSE,,
,,sa,san,san,san,,sa,,संस्कृतम्,"sanskrit, saṁskṛta",sanskrit,sanskrit,санскрит,sánscrito,,梵语,,individual,ancient,indo-european,FALSE,,"ancient, still spoken"
,,sc,srd,srd,srd,,sc,,sardu,sardinian,sarde,sardisch,сардинский,sardo,,"撒丁语, 萨丁尼亚语",,macro,living,,FALSE,,
,,sd,snd,snd,snd,,sd,,"سنڌي, सिन्धी",sindhi,sindhî,sindhi,синдхи,sindí,,"信德语, 辛德语",,individual,living,indo-european,FALSE,,
,,se,sme,sme,sme,,se,,"sámi, davvisámegiella, sámegiella",northern sami,sami du nord,nordsamisch,северносаамский,,,北萨米语,,individual,living,uralic,FALSE,,
,,sg,sag,sag,sag,,sg,,"sängö, yângâ tî sängö",sango,sango,sango,санго,sango,,桑戈语,,individual,living,creole,FALSE,,
,,sh,,,hbs,,sh,,"српскохрватски, hrvatskosrpski, srpskohrvatski, српскохрватски",serbo-croatian,serbo-croate,serbokroatisch,сербохорватский,serbocroata,,塞尔维亚-克罗地亚语,,macro,living,,FALSE,,code element for 639-1 has been deprecated
,,si,sin,sin,sin,,si,,සිංහල,"sinhala, sinhalese",singhalais,singhalesisch,сингальский,cingalés,,"僧加罗语, 僧伽罗语",,individual,living,indo-european,FALSE,,
,,sk,slk,slo,slk,,sk,,"slovenčina, slovenský jazyk",slovak,slovaque,slowakisch,словацкий,eslovaco,,斯洛伐克语,,individual,living,indo-european,FALSE,,
,,sl,slv,slv,slv,,sl,,"slovenščina, slovenski jezik","slovenian, slovene",slovène,slowenisch,словенский,esloveno,,斯洛文尼亚语、斯洛维尼亚语,,individual,living,indo-european,FALSE,,
,,sm,smo,smo,smo,,sm,,"gagana samoa, gagana fa'a samoa",samoan,samoan,samoanisch,самоанский,samoano,,萨摩亚语,,individual,living,austronesian,FALSE,,
,,sn,sna,sna,sna,,sn,,chishona,shona,shona,shona,шона,sonés,,"修纳语, 绍纳语",,individual,living,niger–congo,FALSE,,
,,so,som,som,som,,so,,"soomaaliga, af soomaali, soomaali",somali,somali,somalisch,сомали,somalí,,"索马里语, 索马利亚语",,individual,living,afro-asiatic,FALSE,,
,,sq,sqi,alb,sqi,,sq,,shqip,albanian,albanais,albanisch,албанский,albanés,,阿尔巴尼亚语,,macro,living,,FALSE,,
,,sr,srp,srp,srp,,sr,,"српски, српски језик, српски, srpski",serbian,serbe,serbisch,сербский,serbio,,塞尔维亚语,hbs,individual,living,indo-european,FALSE,,the iso 639-2/t code srp deprecated the iso 639-2/b code scc[1]
